domain	country	A	NS	CNAME	MX	TXT
helenbissellbland.co.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
i-thatching.uk	PL	212.85.111.30	dns2.home.pl,dns.home.pl,dns3.home.pl		{'exchange': 'i-thatching.uk', 'priority': 10}	v=spf1 mx a ptr ~all
helenbowenhair.co.uk	GB	81.27.92.79	ns4.freeola.net,ns3.freeola.net		{'exchange': 'mx1.freeola.net', 'priority': 10},{'exchange': 'mx3.freeola.net', 'priority': 10},{'exchange': 'mx2.freeola.net', 'priority': 10}	v=spf1 include:spf.freeola.net ~all
englishpapermoneybook.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
helenbowescounselling.co.uk	GB	79.170.40.4	ns2.mainnameserver.com,ns.mainnameserver.com		{'exchange': 'mail.helenbowescounselling.co.uk', 'priority': 10}	
i-vac.uk	GB	213.171.195.105	ns3.livedns.co.uk,ns1.livedns.co.uk,ns2.livedns.co.uk			
i-vancouriers.uk	GB	88.208.253.64	ns2.livedns.co.uk,ns3.livedns.co.uk,ns1.livedns.co.uk		{'exchange': 'mailserver.i-vancouriers.uk', 'priority': 10}	
helenbrady.co.uk	GB	88.208.252.9	ns2.livedns.co.uk,ns1.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mailserver.helenbrady.co.uk', 'priority': 10}	
i-vet.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
englishrosegardening.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
i00.uk	GB	35.177.202.48	ns-1362.awsdns-42.org,ns-1954.awsdns-52.co.uk,ns-981.awsdns-58.net,ns-164.awsdns-20.com		{'exchange': 'aspmx3.googlemail.com', 'priority': 10},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 5},{'exchange': 'aspmx.l.google.com', 'priority': 1},{'exchange': 'aspmx2.googlemail.com', 'priority': 10},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 5}	
englishswimming.uk	GB	213.171.195.105	ns2.livedns.co.uk,ns1.livedns.co.uk,ns3.livedns.co.uk			
e-repaircare.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
helenbroadfoot.co.uk	US	174.129.219.149	dns1.uk2.net,dns3.uk2.net,dns2.uk2.net		{'exchange': 'mx.helenbroadfoot.co.uk.cust.a.hostedemail.com', 'priority': 0}	
englishteaching4you.uk	US	66.96.147.106	ns2.ipage.com,ns1.ipage.com		{'exchange': 'mx.englishteaching4you.uk', 'priority': 30}	v=spf1 ip4:66.96.128.0/18 ?all
helenbrobbey.co.uk	DE	217.160.233.201	ns1043.ui-dns.org,ns1043.ui-dns.de,ns1043.ui-dns.biz,ns1043.ui-dns.com		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
helenbrookart.co.uk	US	192.0.78.25,192.0.78.24	ns1.wordpress.com,ns3.wordpress.com,ns2.wordpress.com		{'exchange': 'eforward3.registrar-servers.com', 'priority': 10},{'exchange': 'eforward4.registrar-servers.com', 'priority': 15},{'exchange': 'eforward1.registrar-servers.com', 'priority': 10},{'exchange': 'eforward2.registrar-servers.com', 'priority': 10},{'exchange': 'eforward5.registrar-servers.com', 'priority': 20}	
i2i-ltd.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
e-scratchoff.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
i2ip.uk	GB	46.23.69.44	dns1.uk2.net,dns2.uk2.net,dns3.uk2.net		{'exchange': 'mx.i2ip.uk.cust.a.hostedemail.com', 'priority': 0}	
englishweb.uk	US	162.241.216.125	ns1.bluehost.com,ns2.bluehost.com		{'exchange': 'mail.englishweb.uk', 'priority': 0}	v=spf1 a mx ptr include:bluehost.com ?all
helenbrownlondon.co.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
helenbryanflorist.co.uk	GB	85.234.138.242	ns1.rimuhosting.com,ns2.rimuhosting.com		{'exchange': 'mail.helenbryanflorist.co.uk', 'priority': 0}	
i333.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
i4-ltd.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
e-shotgov.uk			ns2.p01.dynect.net,ns1.p01.dynect.net,ns3.p01.dynect.net,ns4.p01.dynect.net		{'exchange': 'fallback.mail.uk.uu.net', 'priority': 99},{'exchange': 'mail.e-shotgov.uk', 'priority': 5}	v=spf1 include:spf.e-shot.net -all
i4ltd.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
helenburgessportraits.co.uk	GB	162.13.209.145	ns2.clik.com,ns1.clik.com		{'exchange': 'mx1.emailsrvr.com', 'priority': 10},{'exchange': 'mx2.emailsrvr.com', 'priority': 20}	v=spf1 include:emailsrvr.com ~all
e-signs.uk	GB	176.56.56.13	ns3.nimbushosting.co.uk,ns1.nimbushosting.co.uk,ns2.nimbushosting.co.uk		{'exchange': 'mail.e-signs.uk', 'priority': 10}	
engramphotography.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
engraved2u.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helenbutterworth.co.uk	DE	217.160.233.214	ns1050.ui-dns.biz,ns1050.ui-dns.org,ns1050.ui-dns.de,ns1050.ui-dns.com		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
ia-support.uk	GB	213.1.214.233	ians4.i-a.co.uk,ians3.i-a.co.uk,ians1.i-a.co.uk,ians2.i-a.co.uk		{'exchange': 'mail.ia-support.uk', 'priority': 10}	v=spf1 +a +mx +a:iaweb305.i-a.co.uk -all
helencadwallader.co.uk	US	23.236.62.147	ns1.wix.com,ns2.wix.com			
e-stimsystems.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helencamilleritherapy.co.uk	DE	217.160.0.225	ns1053.ui-dns.org,ns1053.ui-dns.de,ns1053.ui-dns.com,ns1053.ui-dns.biz		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
engravedtrophiesandawards.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
iaarchitects.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
e-sun.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
iaba.uk			ns2.myhostcenter.com,ns1.myhostcenter.com			
helencarterinteriors.co.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
iabco.uk	US	184.168.131.241	ns22.domaincontrol.com,ns21.domaincontrol.com		{'exchange': 'inboundcluster1.cloudplatform1.com', 'priority': 10},{'exchange': 'inboundcluster2.cloudplatform1.com', 'priority': 10},{'exchange': 'inboundcluster3.cloudplatform1.com', 'priority': 20},{'exchange': 'inboundcluster4.cloudplatform1.com', 'priority': 20}	v=spf1 include:spf.cloudplatform1.com -all
helencarvercelebrant.co.uk	GB	77.72.0.90	ns1.cloudhosting.co.uk,ns2.cloudhosting.co.uk		{'exchange': 'mx1.cloudhosting.co.uk', 'priority': 10},{'exchange': 'mx2.cloudhosting.co.uk', 'priority': 20}	v=spf1 +a +mx +ip4:77.72.0.90 ~all
helencashin.co.uk	GB	93.184.220.23	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
iacd.uk	DE	217.160.0.90	ns1115.ui-dns.com,ns1048.ui-dns.de,ns1083.ui-dns.biz,ns1080.ui-dns.org		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
engsolutions.uk			ns3.ukdnsservers.co.uk,ns2.ukdnsservers.co.uk,ns1.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk			
helencelebrantne.co.uk	US	184.168.131.241	ns60.domaincontrol.com,ns59.domaincontrol.com			
iaconnect.uk	DE	217.160.0.11	ns1076.ui-dns.biz,ns1023.ui-dns.org,ns1054.ui-dns.de,ns1100.ui-dns.com		{'exchange': 'mx01.1and1.co.uk', 'priority': 11},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
helenchallendercounselling.co.uk	DE	217.160.233.132	ns1035.ui-dns.de,ns1046.ui-dns.biz,ns1070.ui-dns.org,ns1059.ui-dns.com		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
helenchaloner.co.uk	GB	94.136.40.103	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
iad-england.uk	FR	217.70.184.38	a.dns.gandi.net,b.dns.gandi.net,c.dns.gandi.net		{'exchange': 'spool.mail.gandi.net', 'priority': 10},{'exchange': 'fb.mail.gandi.net', 'priority': 50}	v=spf1 include:_mailcust.gandi.net ?all
helencharlesproperties.co.uk	US	50.63.202.32	ns35.domaincontrol.com,ns36.domaincontrol.com			
iadso.uk	GB	213.171.195.105	ns3.livedns.co.uk,ns1.livedns.co.uk,ns2.livedns.co.uk		{'exchange': 'mailserver.iadso.uk', 'priority': 10}	
e-vict.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
iafundlinks.uk	GB	46.38.179.167	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
enhancedannuityservice.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
e-wear.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helenchipchaseconsulting.co.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
enhancedcoding.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
helenclarkshop.co.uk	US	50.63.202.35	ns08.domaincontrol.com,ns07.domaincontrol.com			
enhancedspeechtechnology.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
helenclifford.co.uk	GB	94.126.40.154	ns1.lcn.com,ns0.lcn.com,ns2.lcn.com		{'exchange': 'mailforward.lcn.com', 'priority': 10}	v=spf1 ip4:94.126.40.0/24 ip4:94.126.44.0/22 ?all
e-ys.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
enhancefp.uk			ns2.zonomi.com,ns1.zonomi.com			
iahs.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
e-zero.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
iain.uk	GB	89.16.165.229	dns1.twsdns.co.uk,dns2.twsdns.co.uk			
enhancemyhome.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
iaingibson.uk	GB	109.169.55.38	svr3.freebooter.net		{'exchange': 'mail.iaingibson.uk', 'priority': 5}	v=spf1 a mx a:iaingibson.uk ip4:109.169.55.38 -all
e14pps.uk	US	50.63.202.60	ns44.domaincontrol.com,ns43.domaincontrol.com			
iaingordonross.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
iainhwilliams.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
iainlogan.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helencolling.co.uk			ns2.hosteurope.com,ns.hosteurope.com			
e2vsemi.uk	US	52.3.64.143,52.27.255.32,52.18.2.182	dns1.ipmanagerinc.net,dns2.ipmanagerinc.net,dns3.ipmanagerinc.net			v=spf1 -all
iainnicholsonestateagent.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
ea.uk			sedns.ea.com,swdns.ea.com			
helendaniell.co.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
iam-financial.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
helendeanshaw.co.uk	GB	79.170.40.242	ns2.mainnameserver.com,ns.mainnameserver.com		{'exchange': 'mail.helendeanshaw.co.uk', 'priority': 10}	
enjoy-cambridge.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
iamalisonmorgan.uk	US	184.168.221.33	ns56.domaincontrol.com,ns55.domaincontrol.com			
iamannasin.uk	GB	109.74.206.191	ns4.linode.com,ns2.linode.com,ns3.linode.com,ns1.linode.com,ns5.linode.com		{'exchange': 'mail.iamannasin.uk', 'priority': 10}	
helendey.co.uk	GB	94.136.40.103	ns2.hosteurope.com,ns.hosteurope.com		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helendingley.co.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenditchfield.co.uk	GB	81.27.92.72	ns3.freeola.net,ns4.freeola.net		{'exchange': 'mx1.freeola.com', 'priority': 10},{'exchange': 'mx4.freeola.com', 'priority': 10},{'exchange': 'mx5.freeola.com', 'priority': 10},{'exchange': 'mx2.freeola.com', 'priority': 10},{'exchange': 'mx7.freeola.com', 'priority': 10},{'exchange': 'mx6.freeola.com', 'priority': 10},{'exchange': 'mx3.freeola.com', 'priority': 10}	v=spf1 include:spf.freeola.net ~all
iamchris.uk	US	34.193.69.252,34.193.204.92	ns1054.ui-dns.biz,ns1115.ui-dns.org,ns1068.ui-dns.de,ns1050.ui-dns.com		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 11}	
eacomputers.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			v=spf1 -all
eacoustic.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
enjoy-earth.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
eactelford.uk			ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
enjoy-essex.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
iamfinancial.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
enjoy-snow.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
iamgmt.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
iamis.uk	GB	81.150.30.26	ns.123-reg.co.uk,ns2.123-reg.co.uk			
iamjayde.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
iamjc.uk	US	74.217.253.90	ns77.domaincontrol.com,ns78.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
helenedabrowskiinteriors.co.uk	GB	185.11.240.187	ns1.3v0.net,ns4.3v0.net,ns3.3v0.net,ns2.3v0.net		{'exchange': 'helenedabrowskiinteriors.co.uk', 'priority': 0}	
helenedarroze.co.uk	GB	62.32.109.226	ns.domainnetwork.se,ns2.domainnetwork.se		{'exchange': 'csseg01.maybourne.com', 'priority': 1}	MS=ms90076053
helenedarrozeattheconnaught.co.uk	GB	62.32.109.226	ns2.domainnetwork.se,ns.domainnetwork.se			
eagleintranets.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
enjoychamonix.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
eagleit.uk	US	50.63.202.33	ns63.domaincontrol.com,ns64.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
iammoving.uk			ns3.domainmonster.com,ns1.domainmonster.com,ns2.domainmonster.com			
iammp.uk	NL	5.79.66.145	ns1.zzz.com.ua,ns2.zzz.com.ua		{'exchange': 'mail.zzz.com.ua', 'priority': 0}	v=spf1 ip4:5.79.66.145 ip4:37.48.72.4 ip4:37.48.72.7 ip4:37.48.72.5 ip4:37.48.72.6 ip4:216.67.232.71 ip4:77.247.183.104 ip4:77.247.183.97 ip4:77.247.183.138 ip4:85.159.232.242 ip4:109.201.142.226 ip4:216.67.230.70 -all
iamnorth.uk	GB	94.126.40.35	ns1.lcn.com,ns0.lcn.com		{'exchange': 'mx1.lcn.com', 'priority': 10},{'exchange': 'mx0.lcn.com', 'priority': 10}	v=spf1 ip4:94.126.40.0/24 ip4:94.126.44.0/22 ip4:178.18.112.0/22 ?all
eaglepay.uk	GB	93.113.111.62	ns2.nimbushosting.co.uk,ns1.nimbushosting.co.uk,ns3.nimbushosting.co.uk		{'exchange': 'aspmx.l.google.com', 'priority': 1},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 5},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 5},{'exchange': 'alt3.aspmx.l.google.com', 'priority': 10},{'exchange': 'alt4.aspmx.l.google.com', 'priority': 10}	
iamnotwhatyouexpect.uk	GB	79.170.40.4	ns.mainnameserver.com,ns2.mainnameserver.com		{'exchange': 'mail.iamnotwhatyouexpect.uk', 'priority': 10}	
helenelizabethmobile.co.uk	US	104.18.32.130,104.18.33.130	donald.ns.cloudflare.com,betty.ns.cloudflare.com			
iamnowhere.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenellisevents.co.uk	US	23.236.62.147	ns0.wixdns.net,ns1.wixdns.net		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
iampresidential.uk	US	184.168.131.241	ns35.domaincontrol.com,ns36.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
eaglescliffegolfclub.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
iamrebel.uk	US	184.168.131.241	ns24.domaincontrol.com,ns23.domaincontrol.com			
helenepascal.co.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenepotterassociates.co.uk	US	205.147.88.143	ns3.systemdns.com,ns1.systemdns.com,ns2.systemdns.com		{'exchange': 'mx.helenepotterassociates.co.uk.cust.a.hostedemail.com', 'priority': 0}	
iamreusable.uk	DE	217.160.0.95	ns1054.ui-dns.com,ns1053.ui-dns.de,ns1108.ui-dns.biz,ns1118.ui-dns.org		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
heleneriksenweddings.co.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
enjoykarate.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
iamroadwise.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
enjoyswitzerland.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
iamtheiot.uk	DE	217.160.0.58	ns1100.ui-dns.org,ns1100.ui-dns.com,ns1100.ui-dns.de,ns1100.ui-dns.biz		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
helenfarish.co.uk	GB	77.72.1.2	ns1.krystal.co.uk,ns2.krystal.co.uk		{'exchange': 'helenfarish.co.uk', 'priority': 0}	
enjoytraining.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helenflowerdesign.co.uk	GB	88.208.252.135	ns3.livedns.co.uk,ns2.livedns.co.uk,ns1.livedns.co.uk		{'exchange': 'mailserver.helenflowerdesign.co.uk', 'priority': 10}	
eao.uk	GB	5.134.8.238	ns1.ssws.uk,ns2.ssws.uk		{'exchange': 'eao.uk', 'priority': 0}	v=spf1 +a +mx +ip4:5.134.8.252 +ip4:5.134.8.238 ~all
ian-dyer.uk			ns2.ukdnsservers.co.uk,ns3.ukdnsservers.co.uk,ns1.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk			
earbyhistory.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
enkeialloywheels.uk	US	184.168.131.241	ns46.domaincontrol.com,ns45.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
ian-holland.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenfoster.co.uk	GB	77.68.64.19	ns2.livedns.co.uk,ns3.livedns.co.uk,ns1.livedns.co.uk		{'exchange': 'mailserver.helenfoster.co.uk', 'priority': 10}	google-site-verification=N3NCL9PNBbjp5qpn34TQPMCr6akkeYoHFCuW6u57Q-k
ian-nicholson.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
earforreading.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
